@relation grafo
@attribute degree_H numeric
@attribute degree_L numeric
@attribute short_path numeric
@attribute clustering_H numeric
@attribute clustering_L numeric
@attribute betweenness_centrality_H numeric
@attribute betweenness_centrality_L numeric
@attribute closeness_centrality_H numeric
@attribute closeness_centrality_L numeric
@attribute eccentricity_H numeric
@attribute eccentricity_L numeric
@attribute eigenCentrality_H numeric
@attribute eigenCentrality_L numeric
@attribute common_neighbors numeric
@attribute has_edge {True,False}


@data
2,1,6,1.0,0.0,0.0,0.0,0.10732168746172194,0.10489324522097593,15,15,-3.3523759101141235e-20,-8.549876567202837e-20,0,False
3,2,7,1.0,0.6666666666666666,3.1380952836812633e-09,0.0,0.12366396011011077,0.09341452233093708,15,14,2.420466972436995e-18,-4.561392408791971e-19,0,False
23,1,52146,0.08300395256916997,0.0,0.0014472490960273532,0.0,0.1296837882285952,2.5569725445073034e-05,13,2,1.6405274409590286e-18,-2.136949770046859e-20,0,False
3,1,10,1.0,0.0,0.0,0.0,0.10063971198833895,0.08351482706984452,17,15,1.1679598607060328e-19,-1.815064663493609e-19,0,False
4,1,8,1.0,0.0,0.0,0.0,0.10969041202382705,0.07957735405954729,17,14,5.479218265727315e-19,-2.98320641767432e-19,0,False
7,3,7,0.9523809523809523,0.6666666666666666,1.2212212567406193e-05,1.5193240164001652e-07,0.11892802626236354,0.10786328718859983,14,14,4.644711334477284e-19,2.9481786202146255e-19,0,False
14,2,5,0.37362637362637363,0.0,6.617134772584764e-05,2.8950564507689175e-05,0.13547923598406497,0.11387806392216475,14,13,4.598837659643777e-17,3.7300906114076624e-19,0,False
3,3,8,1.0,1.0,0.0,0.0,0.1144514397963409,0.08964593238200771,16,14,4.02884553540237e-19,-4.954750902476691e-19,0,False
7,3,52146,0.42857142857142855,0.3333333333333333,3.730456334974823e-05,2.942205290549981e-09,0.102236244215905,6.136734106817529e-05,15,2,9.376825850921173e-19,4.833690427630869e-19,0,False
5,3,52146,1.0,1.0,0.0,0.0,0.12845860002530962,0.00027014970796316294,13,3,1.3517245819070043e-17,-3.00099235087067e-19,0,False
6,4,7,0.8,0.5,3.7960549785576453e-06,1.961470193699987e-09,0.12009332747204214,0.10025662793806207,16,14,8.244379922368261e-19,-3.442955380607214e-19,0,False
3,3,5,1.0,0.6666666666666666,8.019084655587862e-07,0.0,0.1105043540073778,0.10508877682661937,16,14,5.179963010107482e-19,-1.3174117869119896e-20,0,False
1,1,52146,0.0,0.0,0.0,0.0,0.07781346573038025,1.9177294083804776e-05,17,1,3.4311940375491157e-19,-2.9540032877080513e-19,0,False
5,1,6,0.9,0.0,1.6980365977510654e-06,0.0,0.11810539410004119,0.1124645514676346,14,14,4.099588140791331e-18,-1.9354762553879397e-19,0,False
11,3,6,1.0,0.8727272727272727,1.252581201315181e-06,0.0,0.13842907509390345,0.10955652533419952,15,12,7.685495200953774e-17,-2.3970054698756632e-20,0,False
25,4,6,0.3333333333333333,0.15,0.0011862388523560905,0.00013594078646234214,0.13735707296356162,0.11038897842226071,14,14,2.3658571410478902e-17,1.6738882897157121e-19,0,False
8,6,52146,1.0,0.39285714285714285,3.1049635099914174e-05,0.0,0.09479967101046466,0.00012944673506568223,16,2,1.1958111556633038e-18,3.917399972439695e-19,0,False
7,5,4,0.6,0.42857142857142855,3.759122908591418e-05,3.4289620968494638e-06,0.1242457682195281,0.10594696561106041,15,14,4.533138362531646e-18,1.713759599621634e-18,0,False
3,1,7,1.0,0.0,0.0,0.0,0.11387719093208515,0.08906116874054913,16,14,4.232014901768279e-19,9.244746619633513e-21,0,False
11,3,7,1.0,0.23636363636363636,0.00017760540293445314,0.0,0.11018999969087671,0.10233237956308813,16,15,4.1598808593161876e-19,-9.714704500724575e-20,0,False
3,3,52146,1.0,1.0,0.0,0.0,0.08934829435259631,6.136734106817529e-05,16,2,1.574267842397647e-19,-2.557978143098041e-19,0,False
7,2,7,1.0,1.0,0.0,0.0,0.13353551069354588,0.09354217034465097,16,14,2.2294951923426122e-17,-2.5967219846430882e-19,0,False
7,3,5,0.6666666666666666,0.2857142857142857,0.000416338216615785,5.541825796169613e-06,0.12633103331017403,0.09447440033533423,16,14,2.94849965718254e-19,-9.446566392749219e-20,0,False
12,4,4,1.0,0.06060606060606061,0.00023314820291918923,0.0,0.12952039870893775,0.11326375058292278,15,13,6.5552783761559274e-18,1.1380314119829025e-18,0,False
4,2,10,1.0,1.0,0.0,0.0,0.09798502700030198,0.09046869519713506,16,15,-2.1845870628005886e-19,-2.4957950402530134e-19,0,False
3,3,52146,1.0,1.0,0.0,0.0,0.09822572710266565,5.753188225141433e-05,15,1,3.447211663813182e-20,-7.3722995243644755e-19,0,False
2,2,52146,1.0,1.0,0.0,0.0,0.09293791166149541,4.3148911688560746e-05,16,2,-2.0583833852585306e-19,-4.781674870209493e-19,0,False
3,3,8,0.6666666666666666,0.3333333333333333,0.00011579343141488505,4.342143345359794e-05,0.10718500942219546,0.1023232160269934,15,15,7.253729429828455e-19,1.017696527903304e-20,0,False
1,1,52146,0.0,0.0,0.0,0.0,1.9177294083804776e-05,1.9177294083804776e-05,1,1,-2.221300631226885e-20,-5.441487186847921e-20,0,False
6,3,7,0.6666666666666666,0.2,6.921691618892706e-05,1.6549904759343642e-09,0.12056704149346455,0.09355513109730529,16,14,-2.8545337412340696e-20,-2.938024697305434e-19,0,False
17,1,8,0.058823529411764705,0.0,0.001427191983477819,0.0,0.12446386105065986,0.0886688416705323,17,14,4.4146671482621316e-18,1.5119636053223847e-19,0,False
6,3,6,1.0,0.6,2.2066539679124858e-09,0.0,0.116624133342703,0.1005548966403015,15,14,2.216542627172547e-18,5.3424669531537985e-19,0,False
5,1,52146,0.7,0.0,1.487548020103583e-06,0.0,0.11844063186355272,2.5569725445073034e-05,14,2,1.6123989614367603e-18,-4.674851497422315e-19,0,False
2,1,8,0.0,0.0,8.172792473749946e-11,0.0,0.10242834273961503,0.09325676864028565,16,15,1.0737044870429575e-20,-6.945375030942139e-19,0,False
3,1,52146,1.0,0.0,0.0,0.0,0.101813013086275,1.9177294083804776e-05,15,1,5.05496143647731e-20,-6.612396352238445e-20,0,False
4,1,52146,1.0,0.0,0.0,0.0,0.09113137397020807,7.67091763352191e-05,16,1,2.921564752594267e-19,1.7018998987078142e-19,0,False
13,5,5,0.9,0.15384615384615385,0.0002505053376767273,2.8685277410234376e-08,0.12714905459493947,0.10397732174433931,15,14,-1.7387421926180453e-19,-3.7914780985488745e-19,0,False
9,2,7,1.0,0.8888888888888888,4.138528406284073e-06,0.0,0.10940926434804255,0.10844480819041236,14,14,1.4533776074107228e-18,9.814356874859993e-19,0,False
8,5,7,0.9,0.2857142857142857,0.00010442078789769383,1.8388783065937382e-10,0.13463566413035732,0.08730248891928043,17,13,1.51510659115482e-17,4.289161155221218e-19,0,False
1,1,7,0.0,0.0,0.0,0.0,0.11653721545579324,0.10770804320210838,15,14,-3.4122060930654397e-19,-4.367612266715758e-19,0,False
17,5,10,1.0,0.27205882352941174,0.0003601540931859119,0.0,0.10160270885624145,0.07616139972686563,18,16,2.573137800769732e-18,4.1381002233763764e-19,0,False
2,2,52146,1.0,1.0,0.0,0.0,0.0993746716906055,3.835458816760955e-05,15,1,6.086705827356303e-19,-4.736022880726058e-19,0,False
